Article ID,Article Title,Category,URL,Last Updated,Topics Covered,Content Type,Word Count,Has Screenshots,Content Hash
45,How can I add collaborators to my project?,zipBoard Users,https://help.zipboard.co/article/45-how-can-i-add-collaborators-to-my-project,2024-10-22,Categories,Guide,77,Yes,f63ece066e38c5a243fdf75fc89f8afe
135,How do I Work with Clients in zipBoard?,zipBoard Users,https://help.zipboard.co/article/135-how-do-i-work-with-clients-in-zipboard,2025-01-24,"Enhanced Client Sharing with zipBoard, Ready to Try zipBoard?, 👉Next:",Guide,629,Yes,e93701841549b875a98d2dd4a1d2255a
259,How to Invite Collaborators to a Project?,zipBoard Users,https://help.zipboard.co/article/259-how-to-invite-collaborator-to-project,2023-11-21,"Related Articles, Categories",Guide,113,Yes,eec19eede6204e896cccfc2cefb14e2a
261,Getting Started as a Collaborator,zipBoard Users,https://help.zipboard.co/article/261-getting-started-as-a-collaborator,2025-07-23,"What can collaborators do in zipBoard?, Step-by-Step Process for Collaborators, Need More Help?",Guide,319,No,f7b25eb6319f8f6620b3cc992b517d95
73,"What’s the difference between Super Admin, Admin, Manager, Collaborator, Client, Guest Collaborator and Reviewer?",zipBoard Users,https://help.zipboard.co/article/73-what-is-the-difference-between-owner-manager-collaborator-and-client,2024-08-29,"Org Admin/Super Admin:, Admin:, Managers:",Guide,375,No,0f19e2a926045449b12328770608b9cd
164,"What is the ""Add Client"" button for?",zipBoard Users,https://help.zipboard.co/article/164-what-is-the-add-client-button-for,2025-01-24,"Why Do We Have This Feature?, How to Add Clients to Your zipBoard Project, Benefits of Using zipBoard by Industry",Guide,457,Yes,dbfeb9bd0de58049560b44ae7a882b0b
150,How can I manage user roles better with enterprise accounts?,zipBoard Users,https://help.zipboard.co/article/150-how-can-i-manage-user-roles-better-with-enterprise-accounts,2024-10-22,Categories,Guide,343,Yes,17697b07b9acb16afd9610903aa86cf6
122,Adding a collaborator or reviewer account,zipBoard Users,https://help.zipboard.co/article/122-adding-a-collaborator-or-reviewer-account,2024-10-22,Categories,Guide,232,Yes,1ef9fb992ecb63890bc4d5af47c90a07
266,Guides for zipBoard Users,zipBoard Users,https://help.zipboard.co/article/266-comprehensive-guides-for-zipboard,2025-01-24,Categories,Guide,231,No,181aa65d12d0a592ee83cbe0d49fafb9
123,Adding a Manager Account,zipBoard Users,https://help.zipboard.co/article/123-adding-a-manager-account,2024-08-29,Categories,Guide,171,Yes,9a8815e4ac2d1a1788095407a5f34ed2
63,How do I Integrate zipBoard with JIRA?,Knowledge Base,https://help.zipboard.co/article/63-how-do-i-integrate-zipboard-with-jira,2023-12-28,Categories,Guide,351,Yes,462fd7173c42d1dd06c0f32ab50624d8
205,Integrate zipBoard with Wrike & Manage Your Project Better,Knowledge Base,https://help.zipboard.co/article/205-does-zipboard-integrate-with-wrike,2024-10-18,"Related Articles, Categories",Guide,166,Yes,d35e3da7bc99b03be590b12e16932f05
421,Getting Started with the zipBoard Add-in for Microsoft Outlook,Knowledge Base,https://help.zipboard.co/article/421-zipboard-add-in-for-microsoft-outlook,2025-01-21,"Step 1: Installing the zipBoard Add-in, Step 2: Accessing the zipBoard Add-in, Step 3: Logging in to the zipBoard Add-in",Guide,459,Yes,27f1fe5fe19b81594176f466d4e266c5
262,How Secure is zipBoard?,Knowledge Base,https://help.zipboard.co/article/262-how-secure-is-zipboard,2026-02-05,"🖥️ Enterprise-Grade Cloud Infrastructure, 📁 Data Encryption & Transmission, 🎯Access Controls& Internal Security",Guide,512,Yes,c9873e3b7ae5b444b916c575ca8cbf01
295,How do I Integrate zipBoard with LambdaTest?,Knowledge Base,https://help.zipboard.co/article/295-how-integrate-zipboard-lambdatest,2023-12-28,"Step 1: Find zipBoard in LambdaTest, , Step 2: Finding API Key In zipBoard",Guide,280,Yes,71098132455f1a3a83a7ab149278bd5c
443,Document & Content Review Tracking in zipBoard: Ensuring Efficient File Reviews,Knowledge Base,https://help.zipboard.co/article/443-review-tracking-in-zipboard-ensuring-efficient-file-reviews,2025-05-16,"Introducing the Document & Content Review Tracking, Key Features:, Enhancing Efficiency and Collaboration",Guide,404,Yes,14434b5f0237dc9f72a411a28ccf5763
255,How to Work with Microsoft Teams App with zipBoard Integrated in it?,Knowledge Base,https://help.zipboard.co/article/255-how-to-work-with-microsoft-teams-app-with-zipboard-integrated-in-it,2023-12-28,Categories,Guide,187,Yes,2204d29c6028d7919525d126bcd29970
362,How to Enable Camera and Microphone Access,Knowledge Base,https://help.zipboard.co/article/362-how-to-enable-camera-and-video-access,2024-03-16,"Enabling Camera and Video Access in Google Chrome, Step 1: Open Chrome Settings, Step 2: Navigate to Site Settings",Guide,433,Yes,77a9bfee408d3aaafeba10107f848c90
